CMDLINE python demo_DEQ.py
MEM 1283.402344 1727969847.0245
MEM 1283.402344 1727969847.1248
MEM 1283.402344 1727969847.2250
MEM 1283.402344 1727969847.3253
MEM 1283.402344 1727969847.4256
MEM 1283.402344 1727969847.5258
MEM 1283.402344 1727969847.6262
MEM 1283.402344 1727969847.7264
MEM 1283.402344 1727969847.8267
MEM 1283.402344 1727969847.9270
MEM 1283.402344 1727969848.0273
MEM 1283.402344 1727969848.1276
MEM 1283.402344 1727969848.2279
MEM 1283.402344 1727969848.3282
MEM 1283.402344 1727969848.4285
MEM 1283.402344 1727969848.5288
MEM 1283.402344 1727969848.6290
MEM 1283.402344 1727969848.7293
MEM 1283.402344 1727969848.8296
MEM 1283.402344 1727969848.9299
MEM 1283.402344 1727969849.0302
MEM 1283.402344 1727969849.1305
MEM 1283.402344 1727969849.2307
MEM 1283.402344 1727969849.3310
MEM 1283.449219 1727969849.4313
MEM 1283.449219 1727969849.5316
MEM 1283.449219 1727969849.6319
MEM 1283.449219 1727969849.7322
MEM 1283.449219 1727969849.8325
MEM 1283.449219 1727969849.9328
MEM 1283.449219 1727969850.0331
MEM 1283.449219 1727969850.1335
MEM 1283.449219 1727969850.2337
MEM 1283.449219 1727969850.3340
MEM 1283.449219 1727969850.4344
MEM 1283.449219 1727969850.5347
MEM 1283.449219 1727969850.6350
MEM 1283.449219 1727969850.7353
MEM 1283.449219 1727969850.8357
MEM 1283.449219 1727969850.9360
MEM 1283.449219 1727969851.0363
MEM 1283.449219 1727969851.1367
MEM 1283.449219 1727969851.2370
MEM 1283.449219 1727969851.3372
MEM 1283.449219 1727969851.4375
MEM 1283.449219 1727969851.5379
MEM 1283.449219 1727969851.6381
MEM 1283.449219 1727969851.7384
MEM 1283.449219 1727969851.8387
MEM 1283.449219 1727969851.9390
MEM 1283.449219 1727969852.0393
MEM 1283.449219 1727969852.1396
MEM 1283.449219 1727969852.2400
MEM 1283.449219 1727969852.3403
MEM 1283.601562 1727969852.4407
MEM 1283.601562 1727969852.5411
MEM 1283.601562 1727969852.6415
MEM 1283.601562 1727969852.7418
MEM 1283.601562 1727969852.8421
MEM 1283.601562 1727969852.9424
MEM 1283.601562 1727969853.0427
MEM 1283.601562 1727969853.1431
MEM 1283.601562 1727969853.2434
MEM 1283.601562 1727969853.3437
MEM 1283.601562 1727969853.4440
MEM 1283.601562 1727969853.5443
MEM 1283.601562 1727969853.6446
MEM 1283.601562 1727969853.7450
MEM 1283.601562 1727969853.8452
MEM 1283.601562 1727969853.9456
MEM 1283.601562 1727969854.0458
MEM 1283.601562 1727969854.1461
MEM 1283.601562 1727969854.2464
MEM 1283.601562 1727969854.3468
MEM 1283.601562 1727969854.4471
MEM 1283.601562 1727969854.5474
MEM 1283.601562 1727969854.6477
MEM 1283.601562 1727969854.7480
MEM 1283.601562 1727969854.8483
MEM 1283.601562 1727969854.9487
MEM 1283.601562 1727969855.0491
MEM 1283.601562 1727969855.1494
MEM 1283.601562 1727969855.2498
MEM 1283.601562 1727969855.3501
MEM 1283.601562 1727969855.4505
MEM 1283.601562 1727969855.5508
